Time_s_,PendulumAngularPosition_deg_,ContactForce_N_,OutputTorque_Nm_
0.0315,2.50263,1.42137,2.02769
0.0316,2.5014,1.78727,2.03034
0.0317,2.5028,2.59225,2.03204
0.0318,2.50157,1.42137,2.03466
0.0319,2.50193,1.78727,2.0358
0.032,2.5021,1.42137,2.03712
0.0321,2.50228,1.49455,2.03972
0.0322,2.5028,2.00681,2.04198
0.0323,2.50333,1.27501,2.04442
0.0324,2.50509,1.42137,2.04672
0.0325,2.50561,1.64091,2.05004
0.0326,2.50702,1.56773,2.0521
0.0327,2.50667,2.07999,2.05398
0.0328,2.50491,1.49455,2.0574
0.0329,2.50456,1.34819,2.06108
0.033,2.50474,1.56773,2.06475
0.0331,2.50597,1.49455,2.06816
0.0332,2.50772,2.00681,2.07185
0.0333,2.50948,1.49455,2.07576
0.0334,2.50948,1.49455,2.0778
0.0335,2.5093,1.42137,2.08051
0.0336,2.5093,1.42137,2.08424
0.0337,2.50825,1.64091,2.08775
0.0338,2.50807,1.34819,2.09114
0.0339,2.50684,1.20183,2.09517
0.034,2.50368,1.42137,2.09971
0.0341,2.50052,1.56773,2.10375
0.0342,2.50052,3.32405,2.10644
0.0343,2.50052,1.34819,2.10964
0.0344,2.5007,1.56773,2.11274
0.0345,2.50087,1.64091,2.11556
0.0346,2.50052,1.27501,2.11854
0.0347,2.50105,3.10451,2.12144
0.0348,2.50122,1.64091,2.12425
0.0349,2.50157,1.49455,2.12595
0.035,2.49964,1.34819,2.12955
0.0351,2.49999,1.78727,2.13275
0.0352,2.50087,4.05585,2.13558
0.0353,2.5007,1.42137,2.13935
0.0354,2.50087,1.49455,2.14311
0.0355,2.50122,1.27501,2.14623
0.0356,2.5021,1.42137,2.14882
0.0357,2.50315,4.05585,2.15122
0.0358,2.50386,1.64091,2.15387
0.0359,2.50438,1.34819,2.15656
0.036,2.50491,1.27501,2.15915
0.0361,2.50579,1.49455,2.16207
0.0362,2.50667,4.12903,2.16518
0.0363,2.50614,1.20183,2.16741
0.0364,2.50526,1.34819,2.16875
0.0365,2.50474,1.34819,2.17254
0.0366,2.50509,1.49455,2.17564
0.0367,2.50544,3.54359,2.1782
0.0368,2.50526,1.64091,2.18143
0.0369,2.50421,1.27501,2.18537
0.037,2.50403,1.49455,2.18916
0.0371,2.50632,1.42137,2.19134
0.0372,2.50719,1.56773,2.1937
0.0373,2.50772,1.42137,2.19679
0.0374,2.50807,1.34819,2.19975
0.0375,2.50807,1.64091,2.20306
0.0376,2.5086,1.56773,2.20654
0.0377,2.51071,1.27501,2.20979
0.0378,2.51282,1.27501,2.21217
0.0379,2.51369,1.34819,2.21481
0.038,2.51246,1.42137,2.2188
0.0381,2.51018,1.64091,2.22276
0.0382,2.50895,1.34819,2.22621
0.0383,2.50772,1.05547,2.23025
0.0384,2.50614,1.34819,2.2349
0.0385,2.50368,1.56773,2.23959
0.0386,2.5014,1.56773,2.24332
0.0387,2.49999,1.12865,2.24755
0.0388,2.49999,1.34819,2.25136
0.0389,2.50087,1.27501,2.25451
0.039,2.5014,1.49455,2.25833
0.0391,2.50193,1.49455,2.26189
0.0392,2.50263,1.12865,2.26518
0.0393,2.50298,1.27501,2.26834
0.0394,2.50333,1.42137,2.27088
0.0395,2.50386,1.05547,2.27398
0.0396,2.50544,1.49455,2.27683
0.0397,2.50842,1.12865,2.2792
0.0398,2.51123,1.27501,2.28179
0.0399,2.51246,1.49455,2.2851
0.04,2.51334,1.05547,2.28836
0.0401,2.51422,1.20183,2.29069
0.0402,2.51475,1.42137,2.29395
0.0403,2.5151,1.56773,2.29775
0.0404,2.51475,1.34819,2.3018
0.0405,2.51668,1.27501,2.30539
0.0406,2.51967,1.34819,2.30868
0.0407,2.5216,1.56773,2.31162
0.0408,2.52265,1.64091,2.3137
0.0409,2.52318,1.56773,2.31658
0.041,2.52371,1.20183,2.32031
0.0411,2.52423,1.49455,2.32342
0.0412,2.52406,1.56773,2.32702
0.0413,2.52388,1.34819,2.33066
0.0414,2.52371,1.49455,2.3341
0.0415,2.52546,1.42137,2.33582
0.0416,2.52529,1.42137,2.33755
0.0417,2.5274,1.34819,2.34064
0.0418,2.52863,1.27501,2.34351
0.0419,2.52915,1.27501,2.34648
0.042,2.52845,1.20183,2.35027
0.0421,2.5274,1.27501,2.35384
0.0422,2.5274,1.34819,2.35703
0.0423,2.52617,1.49455,2.36065
0.0424,2.52617,1.20183,2.36351
0.0425,2.52529,1.42137,2.36725
0.0426,2.52634,1.27501,2.37041
0.0427,2.52775,1.05547,2.37345
0.0428,2.5274,1.42137,2.37707
0.0429,2.52863,1.49455,2.38011
0.043,2.52792,1.34819,2.38402
0.0431,2.52669,1.27501,2.38822
0.0432,2.52546,1.27501,2.39266
0.0433,2.52581,1.27501,2.39652
0.0434,2.52634,1.34819,2.40039
0.0435,2.52704,1.71409,2.40438
0.0436,2.52775,1.20183,2.40834
0.0437,2.5274,1.05547,2.41239
0.0438,2.52652,1.20183,2.41611
0.0439,2.52634,1.27501,2.42016
0.044,2.52617,1.34819,2.42443
0.0441,2.52634,1.12865,2.42817
0.0442,2.52687,0.982288,2.43229
0.0443,2.52722,1.34819,2.43692
0.0444,2.52792,1.34819,2.4414
0.0445,2.5288,1.49455,2.44517
0.0446,2.52863,1.42137,2.44948
0.0447,2.52863,1.05547,2.45398
0.0448,2.52827,1.34819,2.45866
0.0449,2.52985,1.34819,2.46279
0.045,2.52827,1.34819,2.46801
0.0451,2.52669,1.34819,2.47332
0.0452,2.52652,2.37271,2.47747
0.0453,2.52617,1.27501,2.481
0.0454,2.52617,1.42137,2.48515
0.0455,2.52494,1.56773,2.49017
0.0456,2.52423,1.42137,2.49463
0.0457,2.52371,2.51907,2.49909
0.0458,2.52336,1.20183,2.50344
0.0459,2.523,1.42137,2.50769
0.046,2.5223,1.64091,2.51169
